week_start,trials_started,trials_active,paid_new,paid_active,mrr_brl,churned,notes
2026-07-14,0,0,0,0,0,0,Fase 0 — baseline
2026-07-18,0,0,0,0,0,0,Fase 5 — iniciar outreach (ver ops/fase-5-aquisicao.md)
